"","subj","k","mean","2.5%","97.5%","parameter","model"
"161",1,6,0.163603061501332,0.02512326635,0.36945007875,"alpha","influence_proba"
"162",2,6,3.485145230575,2.69330712,4.41626127,"alpha","influence_proba"
"163",3,6,1.8285523324,1.3625252275,2.366136635,"alpha","influence_proba"
"164",4,6,3.108681320925,2.2985777225,4.0316834675,"alpha","influence_proba"
"165",5,6,0.9077705905095,0.339281226,1.577013475,"alpha","influence_proba"
"166",6,6,3.3270523665,2.58808683,4.2616390525,"alpha","influence_proba"
"167",7,6,2.6099813196,1.7697062475,3.55395267,"alpha","influence_proba"
"168",8,6,1.5183234140625,0.88551173775,2.2262790675,"alpha","influence_proba"
"169",9,6,0.3726872911763,0.071145688225,0.792024919,"alpha","influence_proba"
"170",10,6,2.31191296885,1.86262316,2.8370022675,"alpha","influence_proba"
"171",11,6,3.911838580925,3.12928996,4.79662538,"alpha","influence_proba"
"172",12,6,3.573587884325,2.715230275,4.5812019575,"alpha","influence_proba"
"173",13,6,2.106990846225,1.44827114,2.87471,"alpha","influence_proba"
"174",14,6,2.88144600375,2.0451492625,3.8289953025,"alpha","influence_proba"
"175",15,6,2.9059579234,2.1863870875,3.702000495,"alpha","influence_proba"
"176",16,6,1.05202596127,0.58490879875,1.5516397725,"alpha","influence_proba"
"177",17,6,3.903300900225,3.027845915,4.9098321,"alpha","influence_proba"
"178",18,6,1.53152773253,1.0566358375,2.02904685,"alpha","influence_proba"
"179",19,6,3.8387852754,2.7273435325,5.0941657075,"alpha","influence_proba"
"180",20,6,3.733573698025,2.77540712,4.8796343525,"alpha","influence_proba"
"181",21,6,3.734833704475,2.6220194275,5.088532875,"alpha","influence_proba"
"182",22,6,2.286799602025,1.570239545,3.097107415,"alpha","influence_proba"
"183",23,6,2.203387735775,1.7445486275,2.7509386425,"alpha","influence_proba"
"184",24,6,3.643182518825,2.7214055525,4.72117899,"alpha","influence_proba"
"185",25,6,3.25891225695,2.550219085,4.0767183325,"alpha","influence_proba"
"186",26,6,2.727788355925,2.230015955,3.2910945875,"alpha","influence_proba"
"187",27,6,3.4151115508,2.5727127675,4.4091363575,"alpha","influence_proba"
"188",28,6,3.3971986423,2.4120771475,4.52577933,"alpha","influence_proba"
"189",29,6,3.4195609406,2.6360326675,4.310553665,"alpha","influence_proba"
"190",30,6,3.062519463175,2.2760036075,3.98742949,"alpha","influence_proba"
"191",31,6,0.87397971218425,0.36617742875,1.43622461,"alpha","influence_proba"
"192",32,6,2.339432081025,1.67893825,3.09605228,"alpha","influence_proba"
"193",1,7,0.12284046578232,0.00391479028250001,0.2437178635,"beta","influence_proba"
"194",2,7,-0.106288720564566,-0.2461694795,0.026579658675,"beta","influence_proba"
"195",3,7,0.0721772548861375,-0.036730202825,0.18160547875,"beta","influence_proba"
"196",4,7,0.23254349452867,0.020711833675,0.463668457,"beta","influence_proba"
"197",5,7,1.11265424919,0.80814557175,1.4488453225,"beta","influence_proba"
"198",6,7,0.100418206237155,-0.016468365075,0.22921995675,"beta","influence_proba"
"199",7,7,0.7958387274675,0.49770753625,1.112533025,"beta","influence_proba"
"200",8,7,0.9758197141625,0.69686928875,1.285762385,"beta","influence_proba"
"201",9,7,1.19907447065,0.8834522825,1.554509815,"beta","influence_proba"
"202",10,7,-0.0313698224642742,-0.115957275,0.049553431625,"beta","influence_proba"
