"","mu_w1","mu_w2","mu_w3","mu_w4","mu_w5","mu_alpha","mu_beta","mu_a_infl","mu_b_infl","mu_sigma_infl"
"1",0.62898486,0.72124075,0.70310085,0.73889987,0.89153914,1.5943253,0.074458376,-0.35528103,0.014729177,0.1474685
"2",0.63608236,0.64352656,0.70196244,0.86604816,0.87415946,1.5552466,0.14333335,-0.33303069,0.033268383,0.15876153
"3",0.6944416,0.72781845,0.75540248,0.82891647,0.91988987,1.252531,0.23496268,-0.37408257,0.026330789,0.14424775
"4",0.71356909,0.74104005,0.70741501,0.83777847,0.90092744,1.5973913,0.23286987,-0.30467218,0.0066321432,0.15790226
"5",0.69040727,0.67384324,0.6927003,0.81078593,0.88640692,1.7737218,0.15161827,-0.24790605,0.018347275,0.15497093
"6",0.6130115,0.74669722,0.75351129,0.86728933,0.88921016,1.7174066,0.11740886,-0.4393111,0.01269364,0.14284895
"7",0.66159167,0.67795083,0.67774454,0.76672875,0.89982064,2.2488933,0.25673033,-0.46798119,-0.0083352294,0.15902775
"8",0.62598642,0.69587454,0.66277527,0.76111298,0.86623986,2.2579669,0.23135409,-0.4899025,-0.0025633554,0.15969772
"9",0.63758605,0.72023603,0.7306676,0.82770576,0.88951237,2.5831298,0.23892677,-0.50392959,0.013080228,0.1479311
"10",0.62482736,0.7043868,0.71204736,0.74368512,0.90097908,2.0048219,0.21892458,-0.35909417,0.0096708643,0.14792611
"11",0.66050676,0.66604548,0.73529092,0.79156573,0.8863451,1.9504492,0.2530166,-0.47792535,0.021731329,0.16708688
"12",0.67518022,0.70799692,0.73285614,0.84807511,0.88374689,1.7892979,0.23683077,-0.36394389,0.019130888,0.18222418
"13",0.64822007,0.66513134,0.74322516,0.84534075,0.92733504,1.6275629,0.28590515,-0.38770364,0.043213847,0.17583449
"14",0.63524618,0.72857607,0.72562945,0.79969888,0.85028129,1.7153609,0.34769768,-0.31177873,0.045443344,0.17270977
"15",0.73286916,0.73821903,0.71822966,0.85750017,0.95102723,1.7378141,0.38771663,-0.28920836,0.049810296,0.1709814
"16",0.78990611,0.73895437,0.80963385,0.77445349,0.89443681,1.7837536,0.40285862,-0.29050094,0.051051905,0.16281835
"17",0.70924947,0.67011037,0.63931484,0.80764988,0.8424659,1.7351262,0.32709561,-0.40738804,0.04561238,0.1428791
"18",0.67423497,0.68867066,0.76677186,0.88685694,0.96805233,1.4554428,0.24458329,-0.33322069,0.048889183,0.15175059
"19",0.67021302,0.68792116,0.77766268,0.87355917,0.96340077,1.4807181,0.23700612,-0.32763357,0.047698814,0.14838013
"20",0.75030745,0.70756635,0.73748166,0.80785839,0.92239853,1.3073381,0.28753162,-0.41081353,0.03379618,0.1434841
"21",0.65778238,0.68837277,0.74716151,0.88510677,0.94567309,1.2061931,0.28150568,-0.44812509,0.032906601,0.13924824
"22",0.66399569,0.74232506,0.74207008,0.81774717,0.86124284,1.4680106,0.3569593,-0.42160749,0.015368572,0.12266506
"23",0.64990958,0.64718279,0.71328573,0.72332901,0.93571041,1.3691547,0.18411433,-0.34265514,0.01563402,0.12539126
"24",0.61677546,0.62761566,0.68373587,0.70796714,0.92910301,1.532426,0.19906783,-0.33430603,0.022325709,0.13590193
"25",0.56855414,0.65381793,0.72711197,0.71250166,0.94215832,1.4296922,0.15238542,-0.36136613,0.02778719,0.13553882
"26",0.70963162,0.69264299,0.72120953,0.9504833,0.82534777,1.7328432,0.15091788,-0.44101123,0.018367987,0.12593508
"27",0.59576496,0.62621324,0.65528285,0.78960421,0.92211672,1.4775647,-0.020500543,-0.3963339,0.020050517,0.11981466
"28",0.67929036,0.74312294,0.79072987,0.90184622,0.85945146,1.8108556,-0.033145256,-0.35070641,0.0096440393,0.15075442
"29",0.6004179,0.62299197,0.67628332,0.74807773,0.88009911,1.9352559,0.11703477,-0.28954684,0.014189439,0.16990628
"30",0.66140727,0.59869764,0.6418301,0.74062731,0.90485438,2.3285579,0.15181381,-0.28612163,0.017129401,0.15955867
"31",0.71450207,0.66491977,0.78970658,0.88403888,0.93979379,1.7817294,0.071661895,-0.35667214,0.013607625,0.1257128
"32",0.70980313,0.68339608,0.69482806,0.78848431,0.88670797,1.9237203,0.21730535,-0.24214726,0.014680963,0.1475397
"33",0.73066706,0.71647965,0.78601484,0.84918747,0.97947909,1.6609266,0.20798366,-0.25074855,0.013856945,0.13685005
"34",0.70698266,0.70091831,0.77804732,0.90564272,0.89154731,1.5246121,0.18096775,-0.26489302,0.0055723923,0.13732862
"35",0.68990124,0.67392079,0.7078779,0.77392007,0.91688247,1.56283,0.3051423,-0.28992727,0.010841254,0.14064203
"36",0.73327475,0.68543766,0.74001902,0.86506206,0.85630477,1.3548422,0.30406431,-0.19794381,0.015097281,0.16790511
"37",0.71210453,0.73962501,0.68425425,0.75176915,0.91424222,1.3977472,0.28696735,-0.26187831,0.027410281,0.15960457
"38",0.71234061,0.73567732,0.70888279,0.86150276,0.88495785,1.6606745,0.29722296,-0.28555636,0.030782054,0.16714754
"39",0.66659526,0.67157532,0.74916964,0.88027941,0.88742127,1.4342656,0.30846582,-0.26475588,0.027232133,0.16431037
"40",0.68087816,0.64433733,0.81029018,0.80671763,0.87478765,1.3286782,0.37544885,-0.28789385,0.044009276,0.14749321
"41",0.65959644,0.64574814,0.78850252,0.8092287,0.90496186,1.2938915,0.3807422,-0.28265619,0.041771572,0.14967249
"42",0.68843077,0.68567031,0.68720934,0.84945891,0.94162844,1.7303786,0.28268976,-0.17111322,0.037290172,0.15519429
"43",0.66261903,0.727937,0.74692491,0.84705924,0.83907181,1.3578127,0.27387072,-0.30487636,0.046513724,0.15005233
"44",0.68225447,0.67824235,0.77257665,0.96037415,0.90182592,1.4262249,0.2754182,-0.36251022,0.032395855,0.16627358
